video_1_segment_0| Ama audio libros presenta Aristóteles, la gran morad, narración Artur Mas. | Ama audio libros presenta Aristteles, la gran morad, narracin Artur Mas.
video_2_segment_123| abastras por los estatutos de Luis Noveno, Rey de Francia y sus pendidas por la paz de Dios son abusos del gobierno feudal. | abastras por los estatutos de Luis Noveno, Rey de Francia y sus pendidas por la paz de Dios son abusos del gobierno feudal.
video_2_segment_1230| partes, los mismos derechos, llevad por todos lados la abundancia y la vida. Así es como el Estado, llegará a ser. | partes, los mismos derechos, llevad por todos lados la abundancia y la vida As es como el Estado, llegar a ser.
video_2_segment_1231| a la vez el más fuerte y el mejor gobernado posible. Acordados de que los muros de las ciudades no se hacen si no del cascote | a la vez el ms fuerte y el mejor gobernado posible Acordados de que los muros de las ciudades no se hacen si no del cascote.
video_2_segment_1232| de las casas de campo. Por cada palacio que veo edificar en la capital, me parece ver de rumbarse todo un país. | de las casas de campo Por cada palacio que veo edificar en la capital, me parece ver de rumbarse todo un pas.
video_2_segment_1233| 14. Continuación. Desde el instante en que el pueblo está legitimamente reunido en cuercuero. | catorce Continuacin Desde el instante en que el pueblo est legitimamente reunido en cuercuero.
video_2_segment_1234| soberano, cesa toda jurisdicción del gobierno, se suspende el poder ejecutivo y la persona del último ciudadano, es tan sagrado. | soberano, cesa toda jurisdiccin del gobierno, se suspende el poder ejecutivo y la persona del ltimo ciudadano, es tan sagrado.
video_2_segment_1235| evitada e inviolable como la del primer magistrado, porque donde se encuentra el representado no hay representante. La mayor parte de los dos | evitada e inviolable como la del primer magistrado, porque donde se encuentra el representado no hay representante La mayor parte de los dos.
video_2_segment_1236| multos que se elevaron en Roma, en los comicios, provino de haber ignorado o descuidado en su aplicación esta regla. Los consules en | multos que se elevaron en Roma, en los comicios, provino de haber ignorado o descuidado en su aplicacin esta regla Los consules en.
video_2_segment_1237| entonces no eran sino los presidentes del pueblo, los tribunos simples oradores, el Senado no era absolutamente nada. | entonces no eran sino los presidentes del pueblo, los tribunos simples oradores, el Senado no era absolutamente nada.
video_2_segment_1238| Estos intervalos de suspensión en que el príncipe reconocía o debía reconocer un superior actual los lamentó siempre y estas | Estos intervalos de suspensin en que el prncipe reconoca o deba reconocer un superior actual los lament siempre y estas.
video_2_segment_1239| asambleas del pueblo, que son la Ñgida del cuerpo político y el freno del gobierno, han sido en todos los tiempos el horror de los jefes. | asambleas del pueblo, que son la gida del cuerpo poltico y el freno del gobierno, han sido en todos los tiempos el horror de los jefes.
video_2_segment_124| sistema absurdo como ninguno, contrario a los principios del derecho natural y a toda buena política. La guerra no es puede. | sistema absurdo como ninguno, contrario a los principios del derecho natural y a toda buena poltica La guerra no es puede.
video_2_segment_1240| por lo cual no perdonan cuidados, objeciones, dificultades ni promesas para desanimar a los ciudadanos. | por lo cual no perdonan cuidados, objeciones, dificultades ni promesas para desanimar a los ciudadanos.
video_2_segment_1241| Cuando estos son navaros, cobardes, bucilámines, más amantes del reposo que de la libertad, no se mantienen mucho tiempo. | Cuando estos son navaros, cobardes, bucilmines, ms amantes del reposo que de la libertad, no se mantienen mucho tiempo.
video_2_segment_1242| contra los esfuerzos redoblados del gobierno, y por ello, aumentando la fuerza de resistencia sin cesar, se desvanece al fin. | contra los esfuerzos redoblados del gobierno, y por ello, aumentando la fuerza de resistencia sin cesar, se desvanece al fin.
video_2_segment_1243| la autoridad soberana y la mayor parte de las ciudades caen y perecen antes de tiempo, más entre la autoridad soberana y el gobierno. | la autoridad soberana y la mayor parte de las ciudades caen y perecen antes de tiempo, ms entre la autoridad soberana y el gobierno.
video_2_segment_1244| no arbitrario, se introduce algunas veces un poder medio, del que es preciso hablar. | no arbitrario, se introduce algunas veces un poder medio, del que es preciso hablar.
video_2_segment_1245| de los diputados o representantes. Tan pronto como el servicio público deja de ser el principal asunto de los ciudadanos y de los que se han hecho. | de los diputados o representantes Tan pronto como el servicio pblico deja de ser el principal asunto de los ciudadanos y de los que se han hecho.
video_2_segment_1246| y prefieren servir con su bolsillo, hacerlo con su persona, el estado se haya próximo a su ruina. Entonces si es preciso ir a la | y prefieren servir con su bolsillo, hacerlo con su persona, el estado se haya prximo a su ruina Entonces si es preciso ir a la.
video_2_segment_1247| guerra, pagan tropas y se quedan en su casa. Si es preciso ir al Consejo, nombran diputados y se quedan en su casa también. | guerra, pagan tropas y se quedan en su casa Si es preciso ir al Consejo, nombran diputados y se quedan en su casa tambin.
video_2_segment_1248| A Forza de Pérez a Ided dinero, consigue tener soldados para abasallar a la patria y representantes para venderla. | A Forza de Prez a Ided dinero, consigue tener soldados para abasallar a la patria y representantes para venderla.
video_2_segment_1249| El movimiento del comercio y de las artes, el hábido interés de ganancia, la indolencia y el amor a las comodidades, es lo que hace cambia. | El movimiento del comercio y de las artes, el hbido inters de ganancia, la indolencia y el amor a las comodidades, es lo que hace cambia.
video_2_segment_125| pues una relación de hombre a hombre sino una relación de estado a estado, en la cual los particulares son los enemigos. | pues una relacin de hombre a hombre sino una relacin de estado a estado, en la cual los particulares son los enemigos.
video_2_segment_1250| los servicios personales en dinero. Secede una parte de su propio provecho para aumentarlo a su gusto. ¿Dat dinero? | los servicios personales en dinero Secede una parte de su propio provecho para aumentarlo a su gusto ¿Dat dinero?.
video_2_segment_1251| y pronto tendráis cadenas. La palabra Hacienda es una palabra desclavo, desconocida en la ciudad. En un país verdaderamente | y pronto tendris cadenas La palabra Hacienda es una palabra desclavo, desconocida en la ciudad En un pas verdaderamente.
video_2_segment_1252| libre, los ciudadanos todo lo hacen con sus brazos y nada con el dinero. Lejos de pagar para eximirse de sus deberes, pagarán | libre, los ciudadanos todo lo hacen con sus brazos y nada con el dinero Lejos de pagar para eximirse de sus deberes, pagarn.
video_2_segment_1253| para llenarlos ellos mismos. ¿Qué me haya muy distante de las ideas comunes? Pues creo las prestaciones personales menos con | para llenarlos ellos mismos ¿Qu me haya muy distante de las ideas comunes? Pues creo las prestaciones personales menos con.
video_2_segment_1254| encontrarías a la libertad de los impuestos. ¿Cuánto mejor constituido sea a él estado, más prevalecen los asuntos públicos? | encontraras a la libertad de los impuestos ¿Cunto mejor constituido sea a l estado, ms prevalecen los asuntos pblicos?.
video_2_segment_1255| sobre los privados en el espíritu de los ciudadanos. Hasta hay muchos menos asuntos privados, porque proporcionando la felicidad como | sobre los privados en el espritu de los ciudadanos Hasta hay muchos menos asuntos privados, porque proporcionando la felicidad como.
video_2_segment_1256| un asuma más considerable a la de cada individuo, quédale a cada cual menos que buscar en los asuntos particulares. | un asuma ms considerable a la de cada individuo, qudale a cada cual menos que buscar en los asuntos particulares.
video_2_segment_1257| En una ciudad bien conducida, todos van presurosos a las asambleas, pero con un mal gobierno nadie quiere dar un paso. | En una ciudad bien conducida, todos van presurosos a las asambleas, pero con un mal gobierno nadie quiere dar un paso.
video_2_segment_1258| para incorporarse a ellas porque nadie pone interés en lo que allí se hace, ya que se preve que la voluntad general no dominará y que a la pie. | para incorporarse a ellas porque nadie pone inters en lo que all se hace, ya que se preve que la voluntad general no dominar y que a la pie.
video_2_segment_1259| Ostre los cuidados domésticos todo lo absorben. Las buenas leyes inducen a hacer otras mejores, las malas, otras | Ostre los cuidados domsticos todo lo absorben Las buenas leyes inducen a hacer otras mejores, las malas, otras.
video_2_segment_126| incidentalmente, no como hombres, ni aún siquiera como ciudadanos, sino como soldados, no como miembros de la patria, sino como | incidentalmente, no como hombres, ni an siquiera como ciudadanos, sino como soldados, no como miembros de la patria, sino como.
video_2_segment_1260| peores. En cuanto a alguien dice de los asuntos del Estado, ¿Ah, ¿Qué me importa? Se debe contar con que el Estado está perdido. | peores En cuanto a alguien dice de los asuntos del Estado, ¿Ah, ¿Qu me importa? Se debe contar con que el Estado est perdido.
video_2_segment_1261| activamiento de la mora de la patria, la actividad del interés privado, la gran extensión de los estados, las conquistas, el abuso del gobierno. | activamiento de la mora de la patria, la actividad del inters privado, la gran extensin de los estados, las conquistas, el abuso del gobierno.
video_2_segment_1262| gobierno, ha dado lugar a la existencia de diputados o representantes del pueblo en las asambleas de la nación. A esto es... | gobierno, ha dado lugar a la existencia de diputados o representantes del pueblo en las asambleas de la nacin A esto es.
video_2_segment_1263| a lo que en ciertos países se ha osado llamar el tercer estado. Así, el interés particular de dos órdenes ocupa | a lo que en ciertos pases se ha osado llamar el tercer estado As, el inters particular de dos rdenes ocupa.
video_2_segment_1264| al primero y el segundo rangos, en tanto que el interés público está colocado en el tercero. La soberanía no puede ser | al primero y el segundo rangos, en tanto que el inters pblico est colocado en el tercero La soberana no puede ser.
video_2_segment_1265| presentada por la misma razón que no puede ser enagenada. Consiste esencialmente en la voluntad general y esta no puedes | presentada por la misma razn que no puede ser enagenada Consiste esencialmente en la voluntad general y esta no puedes.
video_2_segment_1266| ser representada, es ella misma o es otra, no hay término medio. Los diputados del pueblo no son pues ni pueden | ser representada, es ella misma o es otra, no hay trmino medio Los diputados del pueblo no son pues ni pueden.
video_2_segment_1267| vencer sus representantes. No son sino sus comisarios. No pueden acordar nada definitivamente. Toda la inno ratulación. | vencer sus representantes No son sino sus comisarios No pueden acordar nada definitivamente Toda la inno ratulacin.
video_2_segment_1268| ratificada en persona por el pueblo es nula, no es un aleí. El pueblo inglés crece libre | ratificada en persona por el pueblo es nula, no es un ale El pueblo ingls crece libre.
video_2_segment_1269| No lo he sido durante la elección de los miembros del Parlamento, pero tan pronto como son elegidos, es esclavos. | No lo he sido durante la eleccin de los miembros del Parlamento, pero tan pronto como son elegidos, es esclavos.
video_2_segment_127| como sus defensores. En fin, cada estado no puede tener como enemigos si no otros estados y no hombres, puesto que... | como sus defensores En fin, cada estado no puede tener como enemigos si no otros estados y no hombres, puesto que.
video_2_segment_1270| no es nada. En los breves momentos de su libertad, el uso que hace de ella merece que la pierda. La idea de los representantes | no es nada En los breves momentos de su libertad, el uso que hace de ella merece que la pierda La idea de los representantes.
video_2_segment_1271| antes es moderna. Procede del gobierno feudal, de ese inicuo y absurdo gobierno, en el cual la especie humana se ha degradado | antes es moderna Procede del gobierno feudal, de ese inicuo y absurdo gobierno, en el cual la especie humana se ha degradado.
video_2_segment_1272| y en la cual el nombre de hombre ha sido de sonraco. En las antiguas repúblicas y en las monarquías el pueblo no tuvo | y en la cual el nombre de hombre ha sido de sonraco En las antiguas repblicas y en las monarquas el pueblo no tuvo.
video_2_segment_1273| jamás representantes. No se conocía esta palabra. Es muy singular que en Roma, donde los tribunos eran tan sagrados, | jams representantes No se conoca esta palabra Es muy singular que en Roma, donde los tribunos eran tan sagrados,.
video_2_segment_1274| no se hayanisis que era imaginado que pudiesen usurpar las funciones del pueblo y que en medio de tan gran de multitud no hayan intentado. | no se hayanisis que era imaginado que pudiesen usurpar las funciones del pueblo y que en medio de tan gran de multitud no hayan intentado.
video_2_segment_1275| nunca sustraer a su jefe un solo plebistito. Cúfese, sin embargo, de las dificultades que oricinaba algunas veces. | nunca sustraer a su jefe un solo plebistito Cfese, sin embargo, de las dificultades que oricinaba algunas veces.
video_2_segment_1276| es la multitud, por lo que ocurrió en tiempo de los gracos, en que una parte de los ciudadanos daban su sufragia. | es la multitud, por lo que ocurri en tiempo de los gracos, en que una parte de los ciudadanos daban su sufragia.
video_2_segment_1277| de los tejados. ¿Dónde el derecho a la libertad es todo, los inconvenientes nada significan? En este pueblo sabio, | de los tejados ¿Dnde el derecho a la libertad es todo, los inconvenientes nada significan? En este pueblo sabio,.
video_2_segment_1278| todo era colocado en su justa medida. Dejaba hacer a sus lictores lo que sus tribunos no se hubieran atrevido a hacer, no tenían. | todo era colocado en su justa medida Dejaba hacer a sus lictores lo que sus tribunos no se hubieran atrevido a hacer, no tenan.
video_2_segment_1279| que sus lectores quisiesen representarlos. Para explicar sin embargo, cómo los representaban los tribunos algunas veces, basta | que sus lectores quisiesen representarlos Para explicar sin embargo, cmo los representaban los tribunos algunas veces, basta.
video_2_segment_128| Entre cosas te diversa naturaleza no puede establecerse ninguna relación verdadera. Este principio se haya conforme. | Entre cosas te diversa naturaleza no puede establecerse ninguna relacin verdadera Este principio se haya conforme.
video_2_segment_1280| pensar cómo el gobierno representa al soberano. No siendo la ley, sino la declaración de la voluntad general, es claro que el | pensar cmo el gobierno representa al soberano No siendo la ley, sino la declaracin de la voluntad general, es claro que el.
video_2_segment_1281| poder legislativo no puede ser representado en el pueblo, pero puede y debe serlo en el poder exescutivo que no es sino la fuerza aplicada. | poder legislativo no puede ser representado en el pueblo, pero puede y debe serlo en el poder exescutivo que no es sino la fuerza aplicada.
video_2_segment_1282| a la ley. Esto hace comprender que, examinando bien las cosas, se hallarían muy pocas naciones que tuviesen leyes. | a la ley Esto hace comprender que, examinando bien las cosas, se hallaran muy pocas naciones que tuviesen leyes.
video_2_segment_1283| De cualquier modo que sea, es seguro que los tribunos, no teniendo parte alguna en el poder ejecutivo, no pudieron representar jamás al P. | De cualquier modo que sea, es seguro que los tribunos, no teniendo parte alguna en el poder ejecutivo, no pudieron representar jams al P.
video_2_segment_1284| pueblo romano por los derechos de sus cargos, sino solamente usurupando los del Senado. Entre los griegos, cuanto | pueblo romano por los derechos de sus cargos, sino solamente usurupando los del Senado Entre los griegos, cuanto.
video_2_segment_1285| no tenía que hacer el pueblo lo hacía por sí mismo. Constantemente estaba reunido en la plaza. Disfrutaba de un clima suave, no era | no tena que hacer el pueblo lo haca por s mismo Constantemente estaba reunido en la plaza Disfrutaba de un clima suave, no era.
video_2_segment_1286| lo se esclavos hacia sus trabajos, su gran preocupación era la libertad, no teniendo las mismas entajas como conservar. | lo se esclavos hacia sus trabajos, su gran preocupacin era la libertad, no teniendo las mismas entajas como conservar.
video_2_segment_1287| los mismos derechos, vuestros climas, más duros, os crean más necesidades. Durante seis meses del año, la plaza pudo. | los mismos derechos, vuestros climas, ms duros, os crean ms necesidades Durante seis meses del ao, la plaza pudo.
video_2_segment_1288| no está habitable, vuestras lenguas sordas no se dejan oír a la ireligre, concedéis más importancia a vuestra ganancia. | no est habitable, vuestras lenguas sordas no se dejan or a la ireligre, concedis ms importancia a vuestra ganancia.
video_2_segment_1289| a vuestra libertad y teméis mucho menos la esclavitud que la miseria. No se mantiene la libertad, sino con el apoyo de la | a vuestra libertad y temis mucho menos la esclavitud que la miseria No se mantiene la libertad, sino con el apoyo de la.
video_2_segment_129| con las máximas establecidas en todos los tiempos y por la práctica constante de todos los pueblos civilizados. | con las mximas establecidas en todos los tiempos y por la prctica constante de todos los pueblos civilizados.
video_2_segment_1290| servidumbre? Puede ser, los extremos se tocan. Todo lo que no está en la naturaleza tiene sus inconvenientes y la sociedad y | servidumbre? Puede ser, los extremos se tocan Todo lo que no est en la naturaleza tiene sus inconvenientes y la sociedad y.
video_2_segment_1291| más que todos los demás. Hay situaciones desgraciadas en que no puede conservarse la libertad más que hay espenzas de la | ms que todos los dems Hay situaciones desgraciadas en que no puede conservarse la libertad ms que hay espenzas de la.
video_2_segment_1292| del otro y en que el ciudadano no puede ser perfectamente libre si el esclavo no lo es en otro extremo. Tal era la posición | del otro y en que el ciudadano no puede ser perfectamente libre si el esclavo no lo es en otro extremo Tal era la posicin.
video_2_segment_1293| de esparta. Vosotros, pueblos modernos, no tenéis esclavos, pero lo sois. Pagais su libertad con la vuestra. Os gusta. | de esparta Vosotros, pueblos modernos, no tenis esclavos, pero lo sois Pagais su libertad con la vuestra Os gusta.
video_2_segment_1294| a lavar esta preferencia. Yo encuentro que hay en ello más cobardía que humanidad. No creo en modo alguno, por cuanto va dicho. | a lavar esta preferencia Yo encuentro que hay en ello ms cobarda que humanidad No creo en modo alguno, por cuanto va dicho.
video_2_segment_1295| que se ha precisó tener esclavos, ni que el derecho de esclavitud sea legítimo, puesto que he probado lo contrario. Digo solamente, la | que se ha precis tener esclavos, ni que el derecho de esclavitud sea legtimo, puesto que he probado lo contrario Digo solamente, la.
video_2_segment_1296| para las cuales los pueblos modernos que se creen libres tienen representantes y por que los pueblos antiguos no los tienen. | para las cuales los pueblos modernos que se creen libres tienen representantes y por que los pueblos antiguos no los tienen.
video_2_segment_1297| tenían. De cualquier modo que sea, en el instante en que un pueblo se da representantes, ya no es libre, ya no existe. Examinando | tenan De cualquier modo que sea, en el instante en que un pueblo se da representantes, ya no es libre, ya no existe Examinando.
video_2_segment_1298| todo bien, no veo que sea desde ahora posible al soberano el conservar entre nosotros el ejercicio de sus derechos si la ciudad no es una persona que no se puede hacer. | todo bien, no veo que sea desde ahora posible al soberano el conservar entre nosotros el ejercicio de sus derechos si la ciudad no es una persona que no se puede hacer.
video_2_segment_1299| no es muy pequeña, pero si es muy pequeña, ¿será su piuada? No, a beber a continuación, cómo se puede reunir el poder ex | no es muy pequea, pero si es muy pequea, ¿ser su piuada? No, a beber a continuacin, cmo se puede reunir el poder ex.
video_2_segment_13| social. El hombre nace libre, pero en todos lados está encadenado. La otra de su Emilio Olaydo. | social El hombre nace libre, pero en todos lados est encadenado La otra de su Emilio Olaydo.
video_2_segment_130| de guerra no son tanto abertencia a la potencia cuanto a sus súptitos. El extranjero se arreí particular o pueblo. | de guerra no son tanto abertencia a la potencia cuanto a sus sptitos El extranjero se arre particular o pueblo.
video_2_segment_1300| exterior de un gran pueblo con la civilidad, la polis, fácil y el buen orden de un pequeño estado. | exterior de un gran pueblo con la civilidad, la polis, fcil y el buen orden de un pequeo estado.
video_2_segment_1301| 16. Capítulo 16. La institución del gobierno no es un contrato. Una vez bien establecido el Poder Legislador. | dieciséis Captulo dieciséis La institucin del gobierno no es un contrato Una vez bien establecido el Poder Legislador.
video_2_segment_1302| el dispositivo se trata de establecer del mismo modo el poder ejecutivo, porque este, que solo opera por actos particulares, no siendo de la | el dispositivo se trata de establecer del mismo modo el poder ejecutivo, porque este, que solo opera por actos particulares, no siendo de la.
video_2_segment_1303| misma esencia que el otro se haya naturalmente separado de él. Si fuese posible que el soberano considerado como tal, tuviese | misma esencia que el otro se haya naturalmente separado de l Si fuese posible que el soberano considerado como tal, tuviese.
video_2_segment_1304| el poder ejecutivo, el derecho y el hecho estarían confundidos de tal modo que no se habría de decir lo que es ley y lo que no. | el poder ejecutivo, el derecho y el hecho estaran confundidos de tal modo que no se habra de decir lo que es ley y lo que no.
video_2_segment_1305| no lo es, y el cuerpo político así de naturalizado, pronto sería presa de la violencia contra la cual fue instituido. | no lo es, y el cuerpo poltico as de naturalizado, pronto sera presa de la violencia contra la cual fue instituido.
video_2_segment_1306| todos los ciudadanos iguales por el contrato social, lo que todos deben hacer, todos deben prescribirlo. Así como nadie tiene derecho a existir. | todos los ciudadanos iguales por el contrato social, lo que todos deben hacer, todos deben prescribirlo As como nadie tiene derecho a existir.
video_2_segment_1307| que haga otro lo que él mismo no hace. Ahora bien, es propiamente este derecho, indispensable para vivir y para | que haga otro lo que l mismo no hace Ahora bien, es propiamente este derecho, indispensable para vivir y para.
video_2_segment_1308| para mover el cuerpo político, el que el soberano da al príncipe al instituir el gobierno. Muchos han pretendido que el acto de este | para mover el cuerpo poltico, el que el soberano da al prncipe al instituir el gobierno Muchos han pretendido que el acto de este.
video_2_segment_1309| institución era un contrato entre el pueblo y los jefes que este se da, contrato por el cual se estipula entre las dos partes. | institucin era un contrato entre el pueblo y los jefes que este se da, contrato por el cual se estipula entre las dos partes.
video_2_segment_131| que robe, mate o detenga a los súbditos sin declarar la guerra al príncipe, no es un enemigo, es un ladrón. | que robe, mate o detenga a los sbditos sin declarar la guerra al prncipe, no es un enemigo, es un ladrn.
video_2_segment_1310| condiciones, bajo las cuales una se obliga a mandar y la otra a obedecer. Estoy seguro de que se convendrá que | condiciones, bajo las cuales una se obliga a mandar y la otra a obedecer Estoy seguro de que se convendr que.
video_2_segment_1311| que esta es una manera extraña de contratar, pero veamos si es sostenible esta opinión. En primer lugar, la autoridad suprima no puede | que esta es una manera extraa de contratar, pero veamos si es sostenible esta opinin En primer lugar, la autoridad suprima no puede.
video_2_segment_1312| ni modificarse, ni enajenarse, limitarla es destruirla. Es absurdo el contraditorio que el soberano se dea un superior. | ni modificarse, ni enajenarse, limitarla es destruirla Es absurdo el contraditorio que el soberano se dea un superior.
video_2_segment_1313| obligarse a predecir a un Señor es entregarse en plena libertad. Además, es evidente que este contrato del pueblo contáles o cuales persueguen. | obligarse a predecir a un Seor es entregarse en plena libertad Adems, es evidente que este contrato del pueblo contles o cuales persueguen.
video_2_segment_1314| personas sería un acto particular de donde se sigue que este contrato no podría ser una ley ni un acto de soberanía y que por consiguio. | personas sera un acto particular de donde se sigue que este contrato no podra ser una ley ni un acto de soberana y que por consiguio.
video_2_segment_1315| siguiente sería ilegíntimo. Se ve además que las parces contratantes estarían entre sí sólo bajo la ley de naturaleza. | siguiente sera ilegntimo Se ve adems que las parces contratantes estaran entre s slo bajo la ley de naturaleza.
video_2_segment_1316| y sin ninguna garantía de sus compromisos, reciprocos, lo que repugna de todos modos al Estado civil, el hecho de tener alguien la fuerza en su | y sin ninguna garanta de sus compromisos, reciprocos, lo que repugna de todos modos al Estado civil, el hecho de tener alguien la fuerza en su.
video_2_segment_1317| humanos, siendo siempre el dueño de la ejecución, equivale a dar el título de contrato al acto de un hombre que dijese a otro. | humanos, siendo siempre el dueo de la ejecucin, equivale a dar el ttulo de contrato al acto de un hombre que dijese a otro.
video_2_segment_1318| ¿Dónde usted todos mis bienes, a condición de que usted me entregue lo que le plasca? No hay más que un contrato en el estado. | ¿Dnde usted todos mis bienes, a condicin de que usted me entregue lo que le plasca? No hay ms que un contrato en el estado.
video_2_segment_1319| el de la asociación y este excluye cualquier otro. No se podría imaginar ningún contrato público que no fuese un avión. | el de la asociacin y este excluye cualquier otro No se podra imaginar ningn contrato pblico que no fuese un avin.
video_2_segment_132| A una en plena guerra, un príncipe justo se apodera en país enemigo de todo lo que pertenece al público. Más respeta a las personas. | A una en plena guerra, un prncipe justo se apodera en pas enemigo de todo lo que pertenece al pblico Ms respeta a las personas.
video_2_segment_1320| de la institución del gobierno. Bajo qué idea es que se puede ver. | de la institucin del gobierno Bajo qu idea es que se puede ver.
video_2_segment_1321| preciso pues concebir el acto por el cual se instituye el gobierno, haré notar primero que este acto es complejo o compuesto. | preciso pues concebir el acto por el cual se instituye el gobierno, har notar primero que este acto es complejo o compuesto.
video_2_segment_1322| de otros dos, a saber el establecimiento de la ley y la ejecución de la ley. Por el primero, el soberano estatúille. | de otros dos, a saber el establecimiento de la ley y la ejecucin de la ley Por el primero, el soberano estatille.
video_2_segment_1323| que habrá un cuerpo de gobierno instituido en tal o cual forma, y es claro que este acto es una ley. Por el segundo, el pueblo no | que habr un cuerpo de gobierno instituido en tal o cual forma, y es claro que este acto es una ley Por el segundo, el pueblo no.
video_2_segment_1324| para jefes que se la han encargados del gobierno establecido. Ahora bien, siendo este nombramiento un acto particular no es una ser | para jefes que se la han encargados del gobierno establecido Ahora bien, siendo este nombramiento un acto particular no es una ser.
video_2_segment_1325| Segunda ley, sino solamente una continuación de la primera y una función del gobierno. La dificultad está en comprender cómo se | Segunda ley, sino solamente una continuacin de la primera y una funcin del gobierno La dificultad est en comprender cmo se.
video_2_segment_1326| se puede tener un acto de gobierno antes de que el gobierno exista y como el pueblo que o eso verano o sultito pueden llegar a | se puede tener un acto de gobierno antes de que el gobierno exista y como el pueblo que o eso verano o sultito pueden llegar a.
video_2_segment_1327| al príncipe o magistrado en ciertas circunstancias. En esto se descubre, además, una de esas asombrosas propiedades | al prncipe o magistrado en ciertas circunstancias En esto se descubre, adems, una de esas asombrosas propiedades.
video_2_segment_1328| del cuerpo político, por virtud de las cuales concilia a este operaciones contra victoria sin apariencia. Esto se hace. | del cuerpo poltico, por virtud de las cuales concilia a este operaciones contra victoria sin apariencia Esto se hace.
video_2_segment_1329| por una conversión súbita de la soberanía en democracia, de suerte que sin ningún cambio sensible y solamente por un | por una conversin sbita de la soberana en democracia, de suerte que sin ningn cambio sensible y solamente por un.
video_2_segment_133| y los bienes de los particulares. Respecta los derechos sobre los cuales están fundados los suyos propios. | y los bienes de los particulares Respecta los derechos sobre los cuales estn fundados los suyos propios.
video_2_segment_1330| una nueva relación de todos a todos, los ciudadanos, advenidos magistrados, pasan de los actos generales a los particulares. | una nueva relacin de todos a todos, los ciudadanos, advenidos magistrados, pasan de los actos generales a los particulares.
video_2_segment_1331| y de la ley a la ejecución. Este cambio de relación no es una sutileza de especulación sin ejemplo en la práctica. | y de la ley a la ejecucin Este cambio de relacin no es una sutileza de especulacin sin ejemplo en la prctica.
video_2_segment_1332| tiene lugar todos los días en el Parlamento inglés donde la cámara baja, en ciertas ocasiones se transforman y eran comité para discutirme | tiene lugar todos los das en el Parlamento ingls donde la cmara baja, en ciertas ocasiones se transforman y eran comit para discutirme.
video_2_segment_1333| mejor las cuestiones y se convierte así en simple comisión, en vez de corte soberana que era en el momento precedente. | mejor las cuestiones y se convierte as en simple comisin, en vez de corte soberana que era en el momento precedente.
video_2_segment_1334| De este modo, presenta informe ante si misma como cámara de los comunes, de lo que acabas de reglamentar como gran comité y deliberación. | De este modo, presenta informe ante si misma como cmara de los comunes, de lo que acabas de reglamentar como gran comit y deliberacin.
video_2_segment_1335| de nuevo con un especial título sobre aquello que ha resuelto con otro. Tal es la ventaja propia de un gobierno democrático. | de nuevo con un especial ttulo sobre aquello que ha resuelto con otro Tal es la ventaja propia de un gobierno democrtico.
video_2_segment_1336| ser establecido de hecho por un simple acto de la voluntad general. Después de lo cual, el gobierno provisional continúa en posesión. | ser establecido de hecho por un simple acto de la voluntad general Despus de lo cual, el gobierno provisional contina en posesin.
video_2_segment_1337| ¿Si tal es la forma adoptada? O establece el nombre del soberano, el gobierno prescrito por la ley, y en todo se encuentra de este modo. | ¿Si tal es la forma adoptada? O establece el nombre del soberano, el gobierno prescrito por la ley, y en todo se encuentra de este modo.
video_2_segment_1338| conforme a la regla. No es posible instituir el gobierno de ninguna otra manera de gítima y sin renunciar a los principios. | conforme a la regla No es posible instituir el gobierno de ninguna otra manera de gtima y sin renunciar a los principios.
video_2_segment_1339| que acabo de establecer. Capítulo 18 Medios de prevenir las usurpaciones del gobierno | que acabo de establecer Captulo dieciocho Medios de prevenir las usurpaciones del gobierno.
video_2_segment_134| Siendo, en fin de la guerra, la destrucción del Estado enemigo, se tiene derecho a dar muerte, a los defensores en tanto tienen las armas. | Siendo, en fin de la guerra, la destruccin del Estado enemigo, se tiene derecho a dar muerte, a los defensores en tanto tienen las armas.
video_2_segment_1340| De estas aclaraciones resulta, en confirmación del capítulo 16 que el acto que institui el gobierno no es un contrato | De estas aclaraciones resulta, en confirmacin del captulo dieciséis que el acto que institui el gobierno no es un contrato.
video_2_segment_1341| sino una ley, que los depositarios del Poder Ejecutivo no son los dueños del pueblo, sino sus servidores, que pueden onbrarlos o de | sino una ley, que los depositarios del Poder Ejecutivo no son los dueos del pueblo, sino sus servidores, que pueden onbrarlos o de.
video_2_segment_1342| constituirlos cuando le plazca, que no es cuestión para ellos de contratar si no te obedecer y que encargándose de las funciones que | constituirlos cuando le plazca, que no es cuestin para ellos de contratar si no te obedecer y que encargndose de las funciones que.
video_2_segment_1343| El Estado les impone no hacen sino cumplir con su deber de ciudadanos sin tener en modo alguno el derecho de discutir sobre las | El Estado les impone no hacen sino cumplir con su deber de ciudadanos sin tener en modo alguno el derecho de discutir sobre las.
video_2_segment_1344| condiciones. Por tanto, cuando sucede que el pueblo instituye un gobierno hereditario, sea monárquico en una familia, sea... | condiciones Por tanto, cuando sucede que el pueblo instituye un gobierno hereditario, sea monrquico en una familia, sea.
video_2_segment_1345| aristocrático en una clase de ciudadanos no contrae un compromiso, sino que da una forma provisional a la administración. | aristocrtico en una clase de ciudadanos no contrae un compromiso, sino que da una forma provisional a la administracin.
